id,absrate1,nsusp1,mobility1,q1mpa1,q2mpa1,q3mpa1,q4mpa1,absrate2,nsusp2,mobility2,q1mpa2,q2mpa2,q3mpa2,q4mpa2,absrate3,nsusp3,mobility3,q1mpa3,q2mpa3,q3mpa3,q4mpa3,absrate4,nsusp4,mobility4,q1mpa4,q2mpa4,q3mpa4,q4mpa4,absrate5,nsusp5,mobility5,q1mpa5,q2mpa5,q3mpa5,q4mpa5,absrate6,nsusp6,mobility6,q1mpa6,q2mpa6,q3mpa6,q4mpa6,absrate7,nsusp7,mobility7,q1mpa7,q2mpa7,q3mpa7,q4mpa7,nograd
Adele,5.306099572,-0.091351347,-0.581559085,4.397947081,4.652861398,4.271944266,4.754050438,6.282213832,0.203392416,-0.422885953,3.634321033,3.480080389,3.600455897,3.915328021,4.6783169,-0.12562528,-0.634065856,3.484046986,3.303296636,4.115056123,4.359054017,9.431552532,-0.049877098,-0.822435106,4.205688685,3.639019661,3.98317478,4.155285186,6.956039743,-0.20516725,-0.892674382,4.247126934,4.601915527,3.710181276,3.839075258,2.628516294,0.14927601,-0.95292686,3.657451023,3.555862597,3.675085919,3.702989732,12.54762035,-0.146794395,-1.203747848,3.975564023,3.453957285,3.999211474,3.026305888,0
Adelia,5.409944932,0.48872014,-0.267747442,3.446076617,3.162324834,3.545515999,3.227362159,3.468581712,0.911914158,-0.338870208,3.749381268,3.734487375,3.40514342,3.401523219,3.71828942,0.466537544,0.102370022,4.046580535,3.838427328,4.190378981,3.696134777,6.145957786,0.099437918,-0.157712282,3.010751961,2.313802649,2.107757155,2.209565534,5.273711198,0.234473594,-0.020255686,2.930058676,2.563033935,2.281583997,1.492219075,9.54615024,0.408249999,0.019035916,2.072896558,2.022183435,2.279287005,1.714326366,19.65809535,0.48660751,0.431348582,1.65186483,1.60325739,1.307395251,1.092321597,0
Adeline,-2.285335743,-0.213514766,-0.525862442,3.617112193,3.749072899,3.886458155,4.381575812,-1.320719912,0.10147361,-0.467719054,3.820058019,3.685123359,3.883300971,4.070551542,-4.086030279,-0.062611466,-0.324466098,4.241695861,3.921197664,3.781685907,3.757487754,-5.793420058,-0.26017264,-0.494142649,3.657243795,4.47747405,3.526820963,4.079257973,-7.913018145,0.369137166,-1.009207417,3.468829842,4.565300712,4.098865968,4.024612561,-12.53741337,-0.268031558,-0.970735601,4.72375267,4.302464935,4.208806464,4.727771301,-22.27941041,-0.047275969,-1.038337744,4.830249327,5.519407514,4.668491774,4.778867315,0
Adell,10.55802938,0.695107273,0.582561564,2.314811897,2.069876339,1.996356789,1.787722167,7.172582916,0.385250244,0.581561479,2.318323798,1.989801938,2.001398301,2.079890972,9.581072205,0.519102049,0.72481354,2.487821355,2.253110954,2.372477918,1.965006504,11.13547664,0.14804643,0.821551748,2.487726753,1.342676395,2.063065589,1.017402147,8.191047998,0.52996513,0.814287723,2.012987438,1.441493106,1.561326293,1.26629368,8.345873239,0.255173605,0.764080644,1.731164871,0.909054226,1.565224594,1.510188132,17.31488614,0.388226556,1.146372422,1.650425205,0.582207523,0.698586617,1.211313898,0
Adella,3.228502497,-0.077958917,1.234079923,3.299034531,3.258335449,2.718411144,2.938103908,7.543988666,-0.146892068,1.35255228,2.67011484,3.612090477,3.035883531,2.915253253,7.826255647,0.214871326,1.572979915,2.732892581,2.804569712,3.256338054,3.004164079,5.81165926,-0.384443213,1.849499121,3.136960587,2.607659507,3.026509245,3.178508462,5.815824221,0.27073494,1.858271137,2.601877316,2.524403733,2.922897939,2.347162571,12.7639378,0.015052778,2.183829122,2.903282507,2.537704541,3.497319826,2.788153396,5.829686283,-0.159273464,2.093345699,2.607511607,2.763758853,2.899735692,2.797928562,0
Agatha,3.464380876,-0.268299271,-0.620355171,2.625233012,2.60453758,2.660053548,2.542285923,10.6210009,-0.038936265,-0.477740833,2.181436273,2.435342633,2.988115695,2.587192271,7.234944386,0.122965698,-0.34998251,3.407726009,3.082015661,2.618148156,3.05846166,8.456623411,0.044844369,-0.571443104,2.502088411,2.873135226,2.466103444,3.186796029,1.947625099,-0.347516258,-0.543337094,3.027431286,2.445148476,2.705761676,3.571542895,6.651509886,-0.075388034,-0.81991958,3.377435145,2.803768315,3.700608442,3.256118833,11.81449667,-0.189591971,-1.130749762,2.643474678,2.189968112,3.665644844,3.50323541,0
Aggie,3.413635443,-0.028767197,-0.90657342,3.888067689,3.970492824,3.444822008,3.547071221,-1.023087631,0.399228696,-1.382012326,4.08366771,3.696590328,3.024048697,3.738785311,6.551634144,-0.022753128,-1.314056648,3.794162247,3.219130369,4.168173795,3.653645723,2.604699405,-0.243449263,-1.530953119,3.413451879,3.833339382,3.93002966,4.216616264,4.038510231,-0.407980411,-1.41267466,4.583407071,4.112054584,4.027501037,3.280313459,-11.13624316,-0.023346306,-1.601183236,3.983496076,3.741686628,3.996314933,4.182729405,-2.886150886,-0.048949988,-1.991533503,4.538660514,3.827719154,3.560474369,3.502941171,0
Agnes,16.30457628,0.836701164,0.506584394,1.438410938,1.140135121,0.901940884,1.181182156,13.10128236,0.999254319,0.728146433,0.595180857,0.974661903,1.213941072,1.578168852,14.75830602,0.50800991,1.048158451,1.930084842,1.563521588,1.696261665,1.521711023,9.72095727,0.536827015,1.102030485,2.065607009,2.249564943,1.281385127,1.440958814,15.69903229,0.735378291,1.172004389,0.775072646,1.214223261,1.226853443,0.855105063,24.0406964,0.464715047,1.205449405,1.290097567,1.547362648,1.061605951,1.524508189,29.10719464,0.205730161,1.299978784,2.086697645,2.461281587,2.318430955,1.470921778,1
Aida,12.44477121,0.629968807,0.963654491,2.26273414,1.154058117,1.892737457,1.383688465,16.81680783,0.748075517,1.182378227,0.973269045,2.624320035,2.788262632,2.458145484,18.11710105,0.208205164,1.508112767,2.235187177,2.046212336,1.955398634,2.55356945,17.46022602,0.538219216,1.832879073,2.428542017,2.135758965,2.035768131,1.816652155,15.70984386,0.707156017,2.237441556,2.047796593,2.007966678,1.929892659,0.856576767,22.81930109,0.103701714,2.314580231,1.976387318,1.595097457,1.89010111,1.451925729,30.76297506,0.35865401,2.422069887,1.451252108,1.052131135,2.212947182,1.133947004,1
Aimee,-7.453862725,-0.401079041,0.202915846,3.635143922,3.676726876,3.901943585,4.138954563,-6.456960291,-0.05222187,0.382567713,3.72370804,3.874940277,3.843097367,4.187918778,-12.98787417,-0.251092432,0.039593244,3.536847754,3.678329449,4.498423672,4.050302508,-11.59612511,0.139138969,-0.20273223,3.854937069,3.261130368,3.87081166,3.60237914,-11.33526264,-0.031185756,-0.23507073,3.173637019,2.875303171,2.922924938,2.702655535,-9.276578032,-0.188269304,0.220783896,2.787121909,2.557766197,2.530952377,3.273536819,-10.37646032,0.134410807,0.468756074,2.735880705,3.031208689,3.185657558,2.458880765,0
Alba,1.620311834,0.670006429,-0.361998609,2.806223789,2.889379677,2.585104369,3.043491018,2.612186913,-0.217597205,-0.560537481,3.366607477,2.374786707,2.651726311,2.122098246,1.842780426,-0.094105466,-0.264774841,1.489763628,1.297226505,1.578659876,2.02360268,-1.475015569,0.063853667,-0.479022785,2.566534899,2.470523808,2.869258871,2.691737411,3.227172275,0.251195814,-0.502567348,2.491563089,2.7281869,2.095483423,2.296113272,-7.828261278,0.271648919,-0.512318475,2.520711844,2.626727637,2.322504025,2.06341771,12.98694305,0.001675275,-0.732621752,1.884986603,1.426588832,2.33968945,1.611250498,0
Albert,-2.284534528,-0.305755179,-0.076219421,3.362790316,3.382046858,3.110928323,3.422695811,1.530888758,-0.284878835,-0.361023094,3.283657516,3.870283032,3.053213791,3.316878222,2.872739437,0.202839722,-0.327441418,2.548858635,2.801647173,2.931156121,2.37673603,1.392645047,0.257417208,-0.255541071,2.387261757,2.753199041,3.274998053,2.897940926,5.953362643,0.034311197,-0.601605774,3.849926781,2.677774838,3.415173993,3.017200441,-1.021556034,-0.245441719,-0.69782703,3.076764343,3.21738675,2.43761937,2.021197825,7.173917349,0.228087853,-0.860480826,2.998617878,2.881151632,2.656686397,2.316407353,0
Alberta,11.38961931,0.130037467,0.763254808,1.974804632,1.876854592,1.971730957,1.719188821,17.05035516,0.011453499,0.61699492,1.828805473,1.708705306,2.385459593,1.885957088,18.18697813,0.153159259,0.807486242,2.644599526,2.626277046,1.788731024,1.608281414,12.26397808,0.106112955,0.712314921,2.542702802,2.72523295,2.548026621,2.390856248,12.87456174,0.226549337,0.601820899,1.798419214,1.820658321,2.304428945,2.198186018,20.79653447,0.834193766,1.08879638,2.512459574,1.308585343,2.369581359,1.639253425,37.61634135,0.474628543,1.23155363,2.448240684,2.318926589,1.929951256,1.721904436,0
Albertine,9.605821979,0.276937758,0.994282633,3.44415296,3.13210428,2.941425605,2.848223434,10.43457523,-0.219685696,0.589807895,2.772065188,3.290523326,2.964131965,2.395873051,8.928200449,0.161621821,0.564522402,3.101387006,2.453955353,2.518441267,2.436181399,2.580978498,-0.05644024,0.737294339,2.988195184,3.103290909,2.600590202,2.159152414,0.383923615,-0.239787117,0.931211797,2.896686228,2.206138063,3.284397374,2.543855518,3.470749183,0.13211119,0.708685546,2.826862125,1.667515477,2.443642047,2.929705819,-2.235629737,-0.56849501,0.736457325,3.508938846,2.436087646,2.610428289,2.499930652,1
Albina,-5.37343545,-0.034123117,0.070241654,3.116510021,3.455041151,2.957553224,3.54487834,-2.072531839,0.379087172,0.579728997,4.136547572,4.194411323,3.771698696,3.502260192,2.363402658,0.194133046,0.61086329,3.377134753,3.482557315,2.941649692,4.099826153,-5.265094069,0.06891956,0.367963408,3.750451938,4.060797391,3.403103843,3.563444283,5.404135525,0.164796004,0.331835192,2.826837151,3.176901969,2.919462189,2.993927725,9.304681853,0.073845053,0.723725051,2.835409816,3.027366698,3.203214456,3.256132191,22.96095306,0.014294939,1.101727897,2.904083335,2.673918173,3.0883094,3.154877639,0
Alda,2.3463578,-0.088173003,-0.075220554,3.293288747,3.224970395,3.484007844,3.69023647,7.766549896,-0.786036617,-0.492158013,2.31372081,2.994195215,3.870168285,4.030275113,6.971440556,-0.155428788,-0.704661404,3.719804403,3.581728288,3.524656261,3.269583504,0.163688365,-0.191833427,-0.661108498,3.373953836,3.677703694,3.504316607,2.983998243,7.855701304,-0.028920708,-0.339439744,3.060939325,2.148209331,3.257639362,2.428357604,2.542967569,0.556372065,0.156929906,2.787029178,2.804882465,3.357741357,3.860790395,6.270886624,0.15734791,-0.099771917,2.508360039,3.210736784,3.163264606,3.0785107,0
Aletha,3.295390531,0.453681395,0.576691542,4.286300872,4.336686803,4.741398869,4.678392976,-2.193957176,-0.639496756,0.642273456,4.476457243,4.562618698,4.355421903,5.347435442,0.374324249,-0.164720899,0.312471475,5.411304646,4.463781347,4.280152404,4.586382909,-1.331797692,0.209545875,0.315743172,4.355876202,3.961169744,4.026172522,4.033101111,-1.553381197,0.025204894,0.426813998,4.344507265,3.724868071,3.818795149,3.950250677,-0.778564912,-0.117070069,0.42600167,4.172296742,4.262075029,4.120759635,3.48609893,8.417749846,0.160162751,0.353000247,3.689047534,3.734773312,3.861526002,3.587946598,0
Alfred,-1.856944755,0.178101394,0.358710011,3.261011889,3.118500047,3.578895078,3.204095746,-0.961559594,-0.449131137,0.324214557,3.652969724,3.978637228,3.687751385,3.501701793,-6.944421918,-0.14733563,0.360421876,3.424442972,3.444044421,3.686604891,3.956890104,-4.43321549,-0.262284986,0.018368085,4.033345751,3.882067919,3.471723124,2.703703515,-5.742568957,0.091488015,0.014734043,3.187900201,2.951881498,2.793434219,3.678069033,-0.304496381,-0.274593361,0.305669403,3.081209629,3.320707875,3.109080987,2.917305653,0.119385522,-0.163575246,0.282675713,3.400801354,3.346025344,2.153669727,2.425891305,0
Alfreda,9.90885341,-0.396764793,-0.058948998,1.959063852,1.722265205,1.983987581,1.858980152,4.641132187,-0.609852004,-0.060522516,2.844010584,2.695770794,2.954236425,2.571920957,4.6667821,-0.135223736,-0.305706846,3.217605759,2.613440709,2.426675949,2.026365512,2.814070754,-0.006491767,-0.019293897,2.287135557,2.742291755,2.872145012,2.863587434,5.049786508,-0.489687321,-0.264510021,3.132624707,3.364545105,2.973833736,3.043296254,10.17335883,0.401329043,-0.205582105,2.472043851,2.070593725,2.06395346,1.742552219,9.585353274,0.081323308,-0.018036733,2.913321776,2.944611757,3.306732674,2.273701519,0
Alice,2.141641118,0.043146195,0.546690033,2.557271797,2.142268897,1.992510237,2.409663593,5.311046841,0.58992812,0.421251702,2.316460241,2.250826511,1.947025983,1.606158206,-1.980091482,0.327275257,0.584484942,1.067477583,1.205684098,1.113155888,0.973943711,-0.565303198,0.191023553,0.370950556,2.27243791,1.251822077,1.467180322,1.012996715,4.900764124,0.043387014,0.05058935,0.700431371,0.382823777,0.215086871,0.036987587,10.69479517,-0.178367236,-0.140321498,2.298280648,1.579746085,1.866608663,1.692356279,21.97062663,0.146209606,-0.006620138,1.545270269,1.319358755,0.795884344,0.484899587,0
Alicia,6.093372947,0.129085731,0.815875913,3.170279115,3.157361544,3.011926229,2.827754142,3.334939091,0.419340653,0.854444799,3.414327975,3.407317161,2.677756314,2.528856521,4.880796345,0.017897198,0.998745766,2.584952829,2.673601258,3.145946055,2.379267966,8.339858935,-0.165459716,0.820626763,2.611649182,2.120075627,2.41014911,2.232829892,2.871148072,-0.262534143,0.881401843,2.911428334,2.752528979,2.661096069,3.107088861,6.948509783,-0.142794084,0.939652458,2.706105672,2.379840549,3.156207872,2.296519905,7.796958487,-0.043115624,0.851930963,2.321344872,2.835394619,3.13028384,1.930258083,0
Alida,-1.979665424,-0.489814697,-0.728888923,2.764805509,2.459692883,2.304503208,2.669158769,-0.660371035,-0.451804274,-0.388692635,2.546793013,2.594631197,2.368199839,2.129527131,-0.17521539,0.716602851,-0.468528003,2.686394651,2.473786965,2.708749042,2.638754653,0.255836572,-0.086299654,-0.723928938,2.858226723,2.785199408,2.324032481,3.245213403,1.054961205,0.538915209,-0.440673603,1.689366269,2.33718347,2.203567825,2.454383384,-2.802641287,0.160775756,-0.654640513,2.374981695,1.948218328,2.397042525,2.10252836,16.78327212,-0.180245916,-0.661432798,1.899704313,1.313648039,2.263818356,2.96391131,0
Aline,1.124792967,0.785899902,0.929514514,3.454236529,3.303717157,2.93973717,3.435059235,2.267159143,0.082115628,0.901680776,3.49409773,3.577503844,3.705832583,3.218131904,2.01897263,0.070620054,0.820218649,2.857097982,3.075707374,3.015864217,2.952665754,0.386416507,0.459500564,0.790336942,2.921526806,2.909245005,3.306911926,3.020761508,-1.010534491,0.470241895,0.743191689,3.098753167,2.837357547,2.498222131,2.428386328,5.43584752,0.274873233,0.899149284,3.415545258,2.450101485,3.28503755,2.593386571,3.034729129,0.099370237,0.826421931,3.553355037,2.949515871,3.144894927,2.429542139,0
Alla,4.721295178,0.026260527,-0.49547668,4.848459108,4.545580723,4.175182636,4.271920366,2.178832841,0.075869253,-0.205052109,4.059300727,3.171791971,4.16352498,4.079295114,5.232031299,0.047358437,-0.173060493,4.08714317,2.938484966,3.873107289,3.174142483,2.459859738,-0.704178617,0.116033548,3.255916496,4.093079663,4.347114766,4.32541438,4.948941574,-0.681118062,-0.064901063,4.506050244,4.054065636,3.891682705,4.641498341,-0.513142963,-0.245010549,-0.161770671,4.474509588,4.570934476,4.907717255,5.010953414,-3.685769808,-0.375455168,-0.198097176,4.363565518,3.91994124,5.300950703,4.459162922,0
Allene,9.872488471,-0.166673729,1.465173935,3.515718413,3.27212871,3.330755776,3.128180048,11.28060324,0.112638225,1.391761824,3.291433685,3.075732485,3.397435277,3.708302228,11.23704846,0.228378553,1.293452641,3.450819135,2.97659767,3.46618499,3.691515349,6.136601747,0.142126279,1.377888463,3.180219186,2.588642312,3.215710891,3.075199304,9.242385203,-0.139748755,1.756436781,3.183613008,2.879070532,2.923511394,2.955475812,2.92729817,-0.517861523,1.508641635,3.76700047,3.457443209,3.17340751,3.036527569,4.235559191,-0.163179039,1.584568353,4.115919706,3.72222231,4.879520031,4.200039333,0
Allie,1.702693286,-0.115459022,0.278064118,3.653945634,4.244164909,3.759757879,3.980858953,3.772584924,-0.179518369,0.105558283,4.202996619,4.201260072,4.088586826,3.772839933,0.402122179,-0.117031585,0.304751419,3.427798571,3.673005559,4.293260056,3.899135928,-0.691721378,-0.15800358,0.542341718,3.62032361,3.306303863,4.822213092,4.225268249,-2.863590464,-0.336639481,0.459907284,3.979479051,3.789011737,4.099734373,3.826431971,3.909540012,0.25122681,0.285299957,3.239294704,2.68151586,2.845128289,2.338970681,-9.619870323,0.098616563,0.356023523,3.713307864,3.650103338,3.266570646,2.740832488,0
Alma,2.484342116,0.3025184,1.277478605,2.778757196,3.009129898,2.865980622,2.666841192,4.46052742,-0.210103698,1.474974452,2.783473721,2.851901391,3.170907454,3.090344909,1.654135024,0.353133566,1.338463084,3.082387886,3.060025614,2.942347402,2.668803845,0.163145827,0.095228548,1.536119277,2.973940794,3.584769979,2.73350435,2.655430835,3.757278487,-0.055959195,1.582257151,3.132127158,3.104132749,1.997952624,2.65103049,11.96488294,0.229161515,1.928401597,2.277647841,2.233155557,2.456450006,2.399656515,4.797500041,-0.311271464,2.06137585,3.110250762,2.703268593,2.133255788,3.052596433,0
Almeda,4.706518261,-0.677073505,0.340100174,3.564987248,3.486501648,3.874916026,3.624099829,0.492042242,-0.521386212,-0.040483212,4.148256371,3.09183224,3.442893825,3.32541813,2.847190658,-0.326160274,-0.473949833,2.560438725,2.388061756,3.625096067,3.551747796,-3.804589837,-0.416157495,-0.725510518,4.131984459,3.591862544,3.723374344,3.609806695,-0.105250392,-0.175461296,-0.74365027,3.26344275,3.220766507,3.286485434,3.380714042,-7.846166945,-0.2932563,-0.688084076,3.393541539,3.791019879,3.830120975,3.303862015,-8.795643614,0.093494934,-0.800654852,3.915288726,3.869140125,3.546767306,3.946660031,0
Almedia,5.904133562,-0.074181394,0.899820048,3.792290798,3.245246688,3.043016991,2.987601786,6.860631887,0.27487093,0.83170942,3.108284903,2.878038813,2.581531971,2.748584259,15.98265125,-0.047098147,0.994129031,2.790861347,3.012249361,2.444665476,2.523960162,10.14081543,-0.261586674,1.159355545,2.539375064,1.993213393,2.547020963,1.906511706,12.24030438,-0.554566398,0.836237736,2.762577048,2.577936562,2.033769149,1.890422518,12.09080765,-0.240065201,0.709777449,2.504740521,2.659869953,1.851693731,1.847309098,13.98789603,-0.022026016,0.719904295,1.705923959,1.756509289,2.275654643,1.495430607,0
Almira,5.288986767,-0.227948524,0.613101692,3.229008536,3.522017044,3.875081528,4.066262974,6.652585594,-0.710426835,0.498893891,3.494045176,3.450330934,3.584411318,3.381871259,7.409050397,-0.217090478,0.3815353,3.386879621,3.672711218,4.113741687,3.98065803,7.661442013,-0.438406541,0.117060349,3.834075884,4.239596875,3.916146824,4.080463627,10.52445589,-0.510408779,0.274672078,3.725123567,3.405821351,3.821626015,3.491928888,13.82639105,-0.270189813,0.341270638,3.814857879,3.661255861,3.907420068,3.676077407,4.167940139,-0.082642605,0.362018431,3.685493841,4.148306973,4.131239542,3.555905978,0
Alpha,14.33494886,0.237184148,-1.129384415,2.551988651,2.257002526,2.328226738,2.074091379,22.16270426,0.378599843,-1.105182785,2.139425784,1.775174471,1.909856995,1.882585293,21.7891289,0.106144119,-1.020640363,1.985447943,1.935925405,1.684353648,1.828624998,12.73520393,0.242197342,-0.738906129,3.171841378,2.723440342,2.140379745,2.411691591,15.31557307,-0.245365208,-0.710723509,2.408987249,2.339225971,2.66025565,2.794549396,16.6414493,0.057600917,-0.815128993,2.456222572,2.992999115,3.10476336,2.704995439,21.65715072,0.059967411,-0.361298233,3.165694501,2.503496119,2.766996681,3.13438838,1
Alta,6.49511858,-0.301010275,0.406414936,2.815922469,2.466293535,2.84939551,2.933481477,9.678013075,0.612559212,0.688125253,1.726469906,2.083490593,2.743884639,2.442864072,11.89360229,-0.034694464,0.76946631,1.806711737,2.175899638,2.321867023,2.286802791,3.463865345,-0.203464865,1.1729863,2.343227239,2.361813965,2.721763233,2.272922122,13.03803794,-0.029064986,1.263121424,2.414890074,2.388880684,2.541441989,2.791563413,12.17729489,0.45016039,0.936424753,3.528337796,3.07945678,2.225122724,2.777121064,13.64585199,-0.132244881,0.983447137,3.084171894,2.911236412,2.501339652,2.49228249,1
Altha,-4.532692483,-0.220917396,-0.301236423,3.284181003,3.315906771,3.346946981,3.305993669,-3.301208655,-0.251193443,-0.409351687,3.188353808,3.079325124,2.808804993,3.151009827,2.982330495,0.049812532,-0.613399413,2.520428992,2.712059776,2.895725634,2.76894084,-2.306156804,-0.012755045,-0.690600026,2.719077819,2.679455586,3.41607941,3.391558123,-0.305858292,0.184271175,-0.812130084,2.553243218,2.57658359,3.21204072,2.943313077,1.513545201,-0.282233117,-0.798097439,2.690949417,2.402307871,2.358852164,2.558282323,-1.364234357,0.102518206,-1.146294866,2.900829976,3.371711779,3.961866044,3.221667469,0
